RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
216,Eric Kendricks,MIN,0,11,0,0,0,0,0,0,0,0,0,3,0,0,9.9,108.5
217,Daniel Sorensen,KC,0,15,0,0,0,0,0,0,0,0,0,3,1,0,7.2,108.5
218,Khari Willis,IND,0,14,0,0,0,0,0,0,0,0,2,2,1,0,7.8,108.5
219,Jalen Hurts,PHI,QB,15,1061,6,4,357,3,1,3,0,0,0,0,0,7.2,108.44
220,T.J. Hockenson,DET,TE,16,0,0,0,0,0,67,723,6,0,0,0,0,6.8,108.3
221,T.Y. Hilton,IND,WR,15,0,0,0,0,0,56,762,5,0,0,0,0,7.2,108.2
222,Adrian Amos,GB,0,16,0,0,0,0,0,0,0,0,2,2,1,1,6.7,107.7
223,A.J. Klein,BUF,0,16,0,0,0,0,0,0,0,0,5,0,2,1,6.7,107.3
224,Arizona Cardinals,ARI,0,16,0,0,0,0,0,0,0,0,48,11,14,10,6.7,107
225,Harold Landry III,TEN,0,16,0,0,0,0,0,0,0,0,5.5,1,0,0,6.7,106.85
226,Emmanuel Ogbah,MIA,0,16,0,0,0,0,0,0,0,0,9,0,3,0,6.7,106.55
227,Harrison Smith,MIN,0,16,0,0,0,0,0,0,0,0,0.5,5,0,0,6.7,106.5
228,Danny Trevathan,CHI,0,16,0,0,0,0,0,0,0,0,1,0,1,0,6.6,106.3
229,Avery Williamson,PIT,0,15,0,0,0,0,0,0,0,0,1,1,0,0,7.1,106.3
230,Mike Gesicki,MIA,TE,15,0,0,0,0,0,53,703,6,0,0,0,0,7.1,106.3
231,DeMarcus Lawrence,DAL,0,16,0,0,0,0,0,0,0,0,6.5,0,4,1,6.6,106.15
232,Mike Williams,LAC,WR,15,0,0,0,1,0,48,756,5,0,1,0,0,7,105.7
233,Devin Singletary,BUF,RB,16,0,0,0,687,2,38,269,0,0,0,0,0,6.6,105.6
234,Jerry Jeudy,DEN,WR,16,0,0,0,0,0,52,856,3,0,0,0,0,6.6,105.6
235,Minkah Fitzpatrick,PIT,0,16,0,0,0,0,0,0,0,0,0,4,1,1,6.6,105.5
236,Logan Thomas,WAS,TE,16,28,0,0,5,0,72,670,6,0,0,0,0,6.5,104.62
237,De'Vondre Campbell,ARI,0,16,0,0,0,0,0,0,0,0,2,0,1,0,6.5,104.5
238,Rob Gronkowski,TB,TE,16,0,0,0,0,0,45,623,7,0,0,0,0,6.5,104.3
239,Marquez Valdes-Scantling,GB,WR,16,0,0,0,13,0,33,690,6,0,0,0,0,6.5,104.3
240,Nick Foles,CHI,QB,9,1852,10,8,1,1,0,0,0,0,0,0,0,11.6,104.18
241,New England Patriots,NE,0,16,0,0,0,0,0,0,0,0,24,18,5,4,6.5,104
242,Emmanuel Sanders,NO,WR,14,0,0,0,12,0,61,726,5,0,0,0,0,7.4,103.8
243,DeVante Parker,MIA,WR,14,0,0,0,0,0,63,793,4,0,0,0,0,7.4,103.3
244,Seattle Seahawks,SEA,0,16,0,0,0,0,0,0,0,0,46,14,14,9,6.4,103
245,New York Giants,NYG,0,16,0,0,0,0,0,0,0,0,40,11,11,11,6.4,103
246,Philadelphia Eagles,PHI,0,16,0,0,0,0,0,0,0,0,49,8,15,13,6.4,103
247,Brandon Graham,PHI,0,16,0,0,0,0,0,0,0,0,8,0,2,1,6.4,102.6
248,Eric Rowe,MIA,0,16,0,0,0,0,0,0,0,0,0,2,0,1,6.4,102
249,John Johnson III,LAR,0,16,0,0,0,0,0,0,0,0,0,1,0,0,6.4,102
250,Gabriel Davis,BUF,WR,16,0,0,0,0,0,35,599,7,0,0,0,0,6.4,101.9
251,Tre Boston,CAR,0,16,0,0,0,0,0,0,0,0,1,1,1,2,6.4,101.7
252,Darnell Savage,GB,0,15,0,0,0,0,0,0,0,0,1,4,0,1,6.8,101.5
253,DJ Chark Jr.,JAX,WR,13,0,0,0,0,0,53,706,5,0,0,0,0,7.7,100.6
254,Donovan Wilson,DAL,0,14,0,0,0,0,0,0,0,0,3.5,2,3,2,7.2,100.55
255,Trey Hendrickson,NO,0,15,0,0,0,0,0,0,0,0,13.5,0,1,0,6.7,100.1
256,Cody Parkey,CLE,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6.7,100
257,Quinnen Williams O,NYJ,0,13,0,0,0,0,0,0,0,0,7,0,2,0,7.7,99.55
258,Xavien Howard,MIA,0,16,0,0,0,0,0,0,0,0,0,10,1,0,6.2,99.5
